,Belgium,China,France,Germany,Iran,Italy,"Korea, South",Netherlands,Spain,Switzerland,US,United Kingdom
0,109.0,548,130.0,130.0,139.0,155.0,104.0,128.0,120.0,114.0,118.0,116.0
1,169.0,643,191.0,159.0,245.0,229.0,204.0,188.0,165.0,214.0,149.0,164.0
2,200.0,920,204.0,196.0,388.0,322.0,433.0,265.0,222.0,268.0,217.0,207.0
3,239.0,1406,288.0,262.0,593.0,453.0,602.0,321.0,259.0,337.0,262.0,274.0
4,267.0,2075,380.0,482.0,978.0,655.0,833.0,382.0,400.0,374.0,402.0,322.0
5,314.0,2877,656.0,670.0,1501.0,888.0,977.0,503.0,500.0,491.0,518.0,384.0
6,314.0,5509,959.0,799.0,2336.0,1128.0,1261.0,503.0,673.0,652.0,583.0,459.0
7,559.0,6087,1136.0,1040.0,2922.0,1694.0,1766.0,806.0,1073.0,652.0,959.0,459.0
8,689.0,8141,1219.0,1176.0,3513.0,2036.0,2337.0,962.0,1695.0,1139.0,1281.0,802.0
9,886.0,9802,1794.0,1457.0,4747.0,2502.0,3150.0,1138.0,2277.0,1359.0,1663.0,1144.0
10,1058.0,11891,2293.0,1908.0,5823.0,3089.0,3736.0,1416.0,2277.0,2200.0,2179.0,1145.0
11,1243.0,16630,2293.0,2078.0,6566.0,3858.0,4335.0,1711.0,5232.0,2200.0,2727.0,1551.0
12,1486.0,19716,3681.0,3675.0,7161.0,4636.0,5186.0,2058.0,6391.0,2700.0,3499.0,1960.0
13,1795.0,23707,4496.0,4585.0,8042.0,5883.0,5621.0,2467.0,7798.0,3028.0,4632.0,2642.0
14,2257.0,27440,4532.0,5795.0,9000.0,7375.0,6088.0,3003.0,9942.0,4075.0,6421.0,2716.0
15,2815.0,30587,6683.0,7272.0,10075.0,9172.0,6593.0,3640.0,11748.0,5294.0,7783.0,4014.0
16,3401.0,34110,7715.0,9257.0,11364.0,10149.0,7041.0,4217.0,13910.0,6575.0,13677.0,5067.0
17,3743.0,36814,9124.0,12327.0,12729.0,12462.0,7314.0,4764.0,17963.0,7474.0,19100.0,5745.0
18,4269.0,39829,10970.0,15320.0,13938.0,12462.0,7478.0,5580.0,20410.0,8795.0,25489.0,6726.0
19,4937.0,42354,12758.0,19848.0,14991.0,17660.0,7513.0,6438.0,25374.0,9877.0,33276.0,8164.0
20,6235.0,44386,14463.0,22213.0,16169.0,21157.0,7755.0,7468.0,28768.0,10897.0,43847.0,9640.0
21,,44759,16243.0,24873.0,17361.0,24747.0,7869.0,,35136.0,11811.0,53740.0,11812.0
22,,59895,20123.0,29056.0,18407.0,27980.0,7979.0,,39885.0,,65778.0,
23,,66358,22622.0,32986.0,19644.0,31506.0,8086.0,,49515.0,,83836.0,
24,,68413,25600.0,37323.0,20610.0,35713.0,8162.0,,57786.0,,,
25,,70513,29551.0,43938.0,21638.0,41035.0,8236.0,,,,,
26,,72434,,,23049.0,47021.0,8320.0,,,,,
27,,74211,,,24811.0,53578.0,8413.0,,,,,
28,,74619,,,27017.0,59138.0,8565.0,,,,,
29,,75077,,,29406.0,63927.0,8652.0,,,,,
30,,75550,,,,69176.0,8799.0,,,,,
31,,77001,,,,74386.0,8961.0,,,,,
32,,77022,,,,80589.0,8961.0,,,,,
33,,77241,,,,,9037.0,,,,,
34,,77754,,,,,9137.0,,,,,
35,,78166,,,,,9241.0,,,,,
36,,78600,,,,,,,,,,
37,,78928,,,,,,,,,,
38,,79356,,,,,,,,,,
39,,79932,,,,,,,,,,
40,,80136,,,,,,,,,,
41,,80261,,,,,,,,,,
42,,80386,,,,,,,,,,
43,,80537,,,,,,,,,,
44,,80690,,,,,,,,,,
45,,80770,,,,,,,,,,
46,,80823,,,,,,,,,,
47,,80860,,,,,,,,,,
48,,80887,,,,,,,,,,
49,,80921,,,,,,,,,,
50,,80932,,,,,,,,,,
51,,80945,,,,,,,,,,
52,,80977,,,,,,,,,,
53,,81003,,,,,,,,,,
54,,81033,,,,,,,,,,
55,,81058,,,,,,,,,,
56,,81102,,,,,,,,,,
57,,81156,,,,,,,,,,
58,,81250,,,,,,,,,,
59,,81305,,,,,,,,,,
60,,81435,,,,,,,,,,
61,,81498,,,,,,,,,,
62,,81591,,,,,,,,,,
63,,81661,,,,,,,,,,
64,,81782,,,,,,,,,,
