,Belgium,China,France,Germany,Iran,Italy,"Korea, South",Netherlands,Spain,Switzerland,US,United Kingdom
2020-01-22,0,17,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,18,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,26,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,42,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,56,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,82,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,131,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,133,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,171,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,213,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,259,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,361,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,425,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,491,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,563,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,633,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,718,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,805,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,905,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,1012,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,1112,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,1117,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,1369,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,1521,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,1663,1,0,0,0,0,0,0,0,0,0
2020-02-16,0,1766,1,0,0,0,0,0,0,0,0,0
2020-02-17,0,1864,1,0,0,0,0,0,0,0,0,0
2020-02-18,0,2003,1,0,0,0,0,0,0,0,0,0
2020-02-19,0,2116,1,0,2,0,0,0,0,0,0,0
2020-02-20,0,2238,1,0,2,0,1,0,0,0,0,0
2020-02-21,0,2238,1,0,4,1,2,0,0,0,0,0
2020-02-22,0,2443,1,0,5,2,2,0,0,0,0,0
2020-02-23,0,2445,1,0,8,3,6,0,0,0,0,0
2020-02-24,0,2595,1,0,12,7,8,0,0,0,0,0
2020-02-25,0,2665,1,0,16,10,10,0,0,0,0,0
2020-02-26,0,2717,2,0,19,12,12,0,0,0,0,0
2020-02-27,0,2746,2,0,26,17,13,0,0,0,0,0
2020-02-28,0,2790,2,0,34,21,13,0,0,0,0,0
2020-02-29,0,2837,2,0,43,29,16,0,0,0,1,0
2020-03-01,0,2872,2,0,54,34,17,0,0,0,1,0
2020-03-02,0,2914,3,0,66,52,28,0,0,0,6,0
2020-03-03,0,2947,4,0,77,79,28,0,1,0,7,0
2020-03-04,0,2983,4,0,92,107,35,0,2,0,11,0
2020-03-05,0,3015,6,0,107,148,35,0,3,1,12,1
2020-03-06,0,3044,9,0,124,197,42,1,5,1,14,2
2020-03-07,0,3072,11,0,145,233,44,1,10,1,17,2
2020-03-08,0,3100,19,0,194,366,50,3,17,2,21,3
2020-03-09,0,3123,19,2,237,463,53,3,28,2,22,4
2020-03-10,0,3139,33,2,291,631,54,4,35,3,28,6
2020-03-11,3,3161,48,3,354,827,60,5,54,4,36,8
2020-03-12,3,3172,48,3,429,827,66,5,55,4,40,8
2020-03-13,3,3180,79,7,514,1266,66,10,133,11,47,8
2020-03-14,4,3193,91,9,611,1441,72,12,195,13,54,21
2020-03-15,4,3203,91,11,724,1809,75,20,289,14,63,21
2020-03-16,5,3217,149,17,853,2158,75,24,342,14,85,56
2020-03-17,10,3230,149,24,988,2503,81,43,533,27,108,56
2020-03-18,14,3241,149,28,1135,2978,84,58,623,28,118,72
2020-03-19,21,3249,244,44,1284,3405,91,77,830,41,200,138
2020-03-20,37,3253,451,67,1433,4032,94,107,1043,54,244,178
2020-03-21,67,3259,563,84,1556,4825,102,137,1375,75,307,234
2020-03-22,75,3274,676,94,1685,5476,111,180,1772,98,417,282
2020-03-23,88,3274,862,123,1812,6077,111,214,2311,120,557,336
2020-03-24,122,3281,1102,157,1934,6820,120,277,2808,122,706,423
2020-03-25,178,3285,1333,206,2077,7503,126,357,3647,153,942,466
2020-03-26,220,3291,1698,267,2234,8215,131,435,4365,191,1209,580
