,Belgium,China,France,Germany,Iran,Italy,"Korea, South",Netherlands,Spain,Switzerland,US,United Kingdom
0,122.0,131,149.0,123.0,107.0,107.0,102.0,107.0,133.0,120.0,108.0,138.0
1,178.0,133,149.0,157.0,124.0,148.0,111.0,137.0,195.0,122.0,118.0,178.0
2,220.0,171,149.0,206.0,145.0,197.0,111.0,180.0,289.0,153.0,200.0,234.0
3,,213,244.0,267.0,194.0,233.0,120.0,214.0,342.0,191.0,244.0,282.0
4,,259,451.0,,237.0,366.0,126.0,277.0,533.0,,307.0,336.0
5,,361,563.0,,291.0,463.0,131.0,357.0,623.0,,417.0,423.0
6,,425,676.0,,354.0,631.0,,435.0,830.0,,557.0,466.0
7,,491,862.0,,429.0,827.0,,,1043.0,,706.0,580.0
8,,563,1102.0,,514.0,827.0,,,1375.0,,942.0,
9,,633,1333.0,,611.0,1266.0,,,1772.0,,1209.0,
10,,718,1698.0,,724.0,1441.0,,,2311.0,,,
11,,805,,,853.0,1809.0,,,2808.0,,,
12,,905,,,988.0,2158.0,,,3647.0,,,
13,,1012,,,1135.0,2503.0,,,4365.0,,,
14,,1112,,,1284.0,2978.0,,,,,,
15,,1117,,,1433.0,3405.0,,,,,,
16,,1369,,,1556.0,4032.0,,,,,,
17,,1521,,,1685.0,4825.0,,,,,,
18,,1663,,,1812.0,5476.0,,,,,,
19,,1766,,,1934.0,6077.0,,,,,,
20,,1864,,,2077.0,6820.0,,,,,,
21,,2003,,,2234.0,7503.0,,,,,,
22,,2116,,,,8215.0,,,,,,
23,,2238,,,,,,,,,,
24,,2238,,,,,,,,,,
25,,2443,,,,,,,,,,
26,,2445,,,,,,,,,,
27,,2595,,,,,,,,,,
28,,2665,,,,,,,,,,
29,,2717,,,,,,,,,,
30,,2746,,,,,,,,,,
31,,2790,,,,,,,,,,
32,,2837,,,,,,,,,,
33,,2872,,,,,,,,,,
34,,2914,,,,,,,,,,
35,,2947,,,,,,,,,,
36,,2983,,,,,,,,,,
37,,3015,,,,,,,,,,
38,,3044,,,,,,,,,,
39,,3072,,,,,,,,,,
40,,3100,,,,,,,,,,
41,,3123,,,,,,,,,,
42,,3139,,,,,,,,,,
43,,3161,,,,,,,,,,
44,,3172,,,,,,,,,,
45,,3180,,,,,,,,,,
46,,3193,,,,,,,,,,
47,,3203,,,,,,,,,,
48,,3217,,,,,,,,,,
49,,3230,,,,,,,,,,
50,,3241,,,,,,,,,,
51,,3249,,,,,,,,,,
52,,3253,,,,,,,,,,
53,,3259,,,,,,,,,,
54,,3274,,,,,,,,,,
55,,3274,,,,,,,,,,
56,,3281,,,,,,,,,,
57,,3285,,,,,,,,,,
58,,3291,,,,,,,,,,
